t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0,0.4,0.35,0.5,0.6,0.65,0.5
1,0.4,0.4,0.5,1.2,1.2,1.0
2,0.36666666666666664,0.5,0.5833333333333333,1.9,1.5,1.25
3,0.3625,0.5875,0.6375,2.55,1.65,1.45
4,0.38,0.5900000000000001,0.63,3.1,2.05,1.85
5,0.36666666666666664,0.6083333333333333,0.65,3.8,2.35,2.1
6,0.36428571428571427,0.5857142857142856,0.6357142857142857,4.45,2.9,2.55
7,0.36875,0.6,0.625,5.05,3.2,3.0
8,0.36666666666666664,0.5944444444444444,0.6222222222222222,5.7,3.65,3.4
9,0.375,0.5900000000000001,0.63,6.25,4.1,3.7
10,0.38636363636363635,0.5954545454545455,0.6363636363636364,6.75,4.45,4.0
11,0.3875,0.5958333333333333,0.6375,7.35,4.85,4.35
12,0.3961538461538462,0.5846153846153845,0.6346153846153846,7.85,5.4,4.75
13,0.4035714285714286,0.6071428571428571,0.65,8.35,5.5,4.9
14,0.4133333333333333,0.6033333333333333,0.6599999999999999,8.8,5.95,5.1
15,0.421875,0.6125,0.66875,9.25,6.2,5.3
16,0.4264705882352941,0.6205882352941177,0.6823529411764706,9.75,6.45,5.4
17,0.43611111111111117,0.6277777777777778,0.6805555555555556,10.15,6.7,5.75
18,0.4394736842105263,0.618421052631579,0.6789473684210526,10.65,7.25,6.1
19,0.44000000000000006,0.6174999999999999,0.6775,11.2,7.65,6.45
20,0.44523809523809527,0.6166666666666666,0.6761904761904762,11.65,8.05,6.8
21,0.45,0.6227272727272728,0.6772727272727272,12.1,8.3,7.1
22,0.4608695652173913,0.6173913043478261,0.6739130434782609,12.4,8.8,7.5
23,0.4583333333333333,0.6166666666666667,0.6770833333333333,13.0,9.2,7.75
24,0.458,0.616,0.674,13.55,9.6,8.15
25,0.4634615384615385,0.6153846153846154,0.6692307692307693,13.95,10.0,8.6
26,0.475925925925926,0.6203703703703703,0.6666666666666667,14.15,10.25,9.0
27,0.48035714285714287,0.6178571428571429,0.6642857142857144,14.55,10.7,9.4
28,0.48793103448275865,0.6206896551724138,0.6672413793103449,14.85,11.0,9.65
29,0.4916666666666666,0.62,0.6633333333333333,15.25,11.4,10.1
30,0.4919354838709677,0.6209677419354839,0.6596774193548387,15.75,11.75,10.55
31,0.4890625,0.61875,0.659375,16.35,12.2,10.9
32,0.4909090909090909,0.6181818181818182,0.6575757575757576,16.8,12.6,11.3
33,0.49411764705882355,0.6220588235294118,0.6632352941176471,17.2,12.85,11.45
34,0.4928571428571429,0.6185714285714285,0.6599999999999999,17.75,13.35,11.9
35,0.5027777777777778,0.6236111111111111,0.663888888888889,17.9,13.55,12.1
36,0.504054054054054,0.6216216216216217,0.6635135135135135,18.35,14.0,12.45
37,0.5052631578947369,0.6171052631578948,0.6592105263157895,18.8,14.55,12.95
38,0.5089743589743589,0.6217948717948718,0.6615384615384616,19.15,14.75,13.2
39,0.50875,0.62,0.6599999999999999,19.65,15.2,13.6
40,0.5073170731707317,0.6170731707317073,0.6536585365853659,20.2,15.7,14.2
41,0.513095238095238,0.6190476190476191,0.6571428571428571,20.45,16.0,14.4
42,0.5139534883720931,0.6174418604651163,0.6558139534883721,20.9,16.45,14.8
43,0.5147727272727273,0.6170454545454545,0.6556818181818181,21.35,16.85,15.15
44,0.518888888888889,0.6211111111111112,0.6588888888888889,21.65,17.05,15.35
45,0.5206521739130434,0.6228260869565218,0.6619565217391304,22.05,17.35,15.55
46,0.5255319148936171,0.624468085106383,0.6638297872340425,22.3,17.65,15.8
47,0.5270833333333333,0.6270833333333333,0.665625,22.7,17.9,16.05
48,0.5255102040816326,0.6244897959183673,0.6632653061224489,23.25,18.4,16.5
49,0.525,0.621,0.662,23.75,18.95,16.9
50,0.5303921568627451,0.6245098039215686,0.661764705882353,23.95,19.15,17.25
51,0.5298076923076923,0.6230769230769231,0.6596153846153846,24.45,19.6,17.7
52,0.5330188679245282,0.6235849056603773,0.6632075471698113,24.75,19.95,17.85
53,0.5324074074074074,0.6203703703703705,0.6611111111111111,25.25,20.5,18.3
54,0.5318181818181819,0.62,0.6590909090909091,25.75,20.9,18.75
55,0.5321428571428571,0.6205357142857143,0.6580357142857143,26.2,21.25,19.15
56,0.5324561403508772,0.618421052631579,0.6587719298245613,26.65,21.75,19.45
57,0.5327586206896552,0.6163793103448276,0.6603448275862069,27.1,22.25,19.7
58,0.5347457627118645,0.6161016949152542,0.6601694915254237,27.45,22.65,20.05
59,0.5366666666666667,0.6174999999999999,0.6608333333333334,27.8,22.95,20.35
60,0.5377049180327869,0.619672131147541,0.660655737704918,28.2,23.2,20.7
61,0.5395161290322581,0.617741935483871,0.6596774193548387,28.55,23.7,21.1
62,0.5404761904761904,0.6190476190476191,0.6603174603174603,28.95,24.0,21.4
63,0.54375,0.6203125,0.66171875,29.2,24.3,21.65
64,0.5453846153846154,0.62,0.66,29.55,24.7,22.1
65,0.546969696969697,0.6204545454545454,0.6598484848484849,29.9,25.05,22.45
66,0.5507462686567164,0.6208955223880597,0.6611940298507463,30.1,25.4,22.7
67,0.5514705882352942,0.6213235294117647,0.6595588235294118,30.5,25.75,23.15
68,0.5521739130434782,0.618840579710145,0.658695652173913,30.9,26.3,23.55
69,0.5514285714285714,0.6178571428571429,0.6571428571428571,31.4,26.75,24.0
70,0.5528169014084507,0.6190140845070422,0.6577464788732394,31.75,27.05,24.3
71,0.5534722222222223,0.6180555555555556,0.6597222222222222,32.15,27.5,24.5
72,0.5513698630136986,0.6157534246575342,0.6582191780821918,32.75,28.05,24.95
73,0.5527027027027027,0.6162162162162163,0.6594594594594595,33.1,28.4,25.2
74,0.5526666666666666,0.6173333333333334,0.6593333333333333,33.55,28.7,25.55
75,0.5519736842105263,0.6157894736842106,0.6592105263157895,34.05,29.2,25.9
76,0.5519480519480519,0.6155844155844156,0.6577922077922078,34.5,29.6,26.35
77,0.5512820512820513,0.6141025641025641,0.6589743589743591,35.0,30.1,26.6
78,0.5512658227848102,0.6126582278481012,0.658860759493671,35.45,30.6,26.95
79,0.5525,0.6125,0.65875,35.8,31.0,27.3
80,0.5530864197530864,0.6129629629629629,0.6592592592592592,36.2,31.35,27.6
81,0.5536585365853659,0.6115853658536585,0.6560975609756097,36.6,31.85,28.2
82,0.5542168674698795,0.6102409638554217,0.6542168674698795,37.0,32.35,28.7
83,0.5553571428571429,0.6089285714285715,0.6547619047619048,37.35,32.85,29.0
84,0.5547058823529412,0.6076470588235294,0.6535294117647059,37.85,33.35,29.45
85,0.5546511627906977,0.6069767441860465,0.652906976744186,38.3,33.8,29.85
86,0.5557471264367816,0.6063218390804598,0.6517241379310346,38.65,34.25,30.3
87,0.55625,0.6068181818181818,0.6522727272727272,39.05,34.6,30.6
88,0.5584269662921348,0.6084269662921348,0.652247191011236,39.3,34.85,30.95
89,0.5588888888888889,0.6088888888888888,0.6527777777777778,39.7,35.2,31.25
90,0.5604395604395604,0.6093406593406593,0.6521978021978022,40.0,35.55,31.65
91,0.5608695652173913,0.6081521739130434,0.6510869565217392,40.4,36.05,32.1
92,0.5623655913978495,0.6086021505376344,0.6510752688172043,40.7,36.4,32.45
93,0.5632978723404255,0.6101063829787234,0.6505319148936171,41.05,36.65,32.85
94,0.5652631578947369,0.6105263157894737,0.6526315789473685,41.3,37.0,33.0
95,0.56875,0.6130208333333333,0.653125,41.4,37.15,33.3
96,0.568041237113402,0.6118556701030927,0.6515463917525773,41.9,37.65,33.8
97,0.5678571428571428,0.6112244897959184,0.6515306122448979,42.35,38.1,34.15
98,0.5681818181818181,0.6111111111111112,0.651010101010101,42.75,38.5,34.55
99,0.5675,0.61,0.65,43.25,39.0,35.0
100,0.5673267326732673,0.6099009900990099,0.6504950495049504,43.7,39.4,35.3
101,0.567156862745098,0.6088235294117647,0.6504901960784314,44.15,39.9,35.65
102,0.5679611650485437,0.608252427184466,0.6504854368932038,44.5,40.35,36.0
103,0.5682692307692307,0.6091346153846154,0.6519230769230769,44.9,40.65,36.2
104,0.5700000000000001,0.6104761904761904,0.6533333333333333,45.15,40.9,36.4
105,0.5712264150943396,0.6113207547169811,0.6547169811320754,45.45,41.2,36.6
106,0.5728971962616822,0.6130841121495327,0.655607476635514,45.7,41.4,36.85
107,0.5726851851851852,0.6134259259259259,0.6546296296296296,46.15,41.75,37.3
108,0.5724770642201835,0.6119266055045871,0.6536697247706422,46.6,42.3,37.75
109,0.5718181818181818,0.6118181818181818,0.6527272727272727,47.1,42.7,38.2
110,0.572072072072072,0.6112612612612612,0.6536036036036036,47.5,43.15,38.45
111,0.5709821428571429,0.6102678571428571,0.653125,48.05,43.65,38.85
112,0.5712389380530973,0.6106194690265487,0.6539823008849558,48.45,44.0,39.1
113,0.5706140350877194,0.6096491228070176,0.6530701754385965,48.95,44.5,39.55
114,0.5691304347826087,0.6082608695652174,0.6513043478260869,49.55,45.05,40.1
115,0.5702586206896552,0.6086206896551725,0.6512931034482758,49.85,45.4,40.45
116,0.5709401709401709,0.6094017094017093,0.6517094017094017,50.2,45.7,40.75
117,0.5707627118644067,0.6093220338983051,0.6516949152542373,50.65,46.1,41.1
118,0.5705882352941176,0.6088235294117647,0.65,51.1,46.55,41.65
119,0.5712499999999999,0.6104166666666667,0.6495833333333334,51.45,46.75,42.05
120,0.5719008264462809,0.6103305785123967,0.6495867768595042,51.8,47.15,42.4
121,0.5713114754098361,0.6094262295081967,0.6495901639344261,52.3,47.65,42.75
122,0.5711382113821138,0.608130081300813,0.6491869918699187,52.75,48.2,43.15
123,0.5709677419354838,0.607258064516129,0.6491935483870968,53.2,48.7,43.5
124,0.5716,0.608,0.6488,53.55,49.0,43.9
125,0.5726190476190476,0.6087301587301587,0.6492063492063492,53.85,49.3,44.2
126,0.5720472440944881,0.6082677165354331,0.6496062992125984,54.35,49.75,44.5
127,0.571875,0.607421875,0.649609375,54.8,50.25,44.85
128,0.5736434108527131,0.6073643410852714,0.6507751937984496,55.0,50.65,45.05
129,0.5753846153846154,0.6092307692307692,0.6519230769230769,55.2,50.8,45.25
130,0.5755725190839696,0.6087786259541985,0.6522900763358779,55.6,51.25,45.55
131,0.5768939393939394,0.6087121212121211,0.6541666666666667,55.85,51.65,45.65
132,0.5770676691729324,0.6093984962406015,0.6552631578947368,56.25,51.95,45.85
133,0.576865671641791,0.6093283582089553,0.6544776119402985,56.7,52.35,46.3
134,0.5762962962962963,0.6092592592592593,0.6537037037037037,57.2,52.75,46.75
135,0.5753676470588236,0.6077205882352941,0.6514705882352941,57.75,53.35,47.4
136,0.5755474452554744,0.6069343065693431,0.6514598540145985,58.15,53.85,47.75
137,0.5746376811594203,0.6076086956521739,0.6521739130434783,58.7,54.15,48.0
138,0.5755395683453237,0.6079136690647482,0.6525179856115109,59.0,54.5,48.3
139,0.5757142857142857,0.6075,0.6528571428571428,59.4,54.95,48.6
140,0.5762411347517731,0.6078014184397162,0.6531914893617021,59.75,55.3,48.9
141,0.576056338028169,0.6088028169014084,0.653169014084507,60.2,55.55,49.25
142,0.5755244755244755,0.6083916083916084,0.6524475524475524,60.7,56.0,49.7
143,0.5770833333333333,0.609375,0.653125,60.9,56.25,49.95
144,0.5772413793103448,0.6093103448275862,0.6531034482758621,61.3,56.65,50.3
145,0.5780821917808219,0.6102739726027397,0.6534246575342466,61.6,56.9,50.6
146,0.5789115646258504,0.610204081632653,0.6534013605442177,61.9,57.3,50.95
147,0.5804054054054054,0.6114864864864865,0.654391891891892,62.1,57.5,51.15
148,0.5805369127516778,0.6110738255033558,0.6540268456375838,62.5,57.95,51.55
149,0.5806666666666667,0.6103333333333334,0.6536666666666666,62.9,58.45,51.95
150,0.5821192052980132,0.6119205298013245,0.6543046357615894,63.1,58.6,52.2
151,0.5809210526315789,0.6101973684210527,0.6529605263157895,63.7,59.25,52.75
152,0.5813725490196078,0.6107843137254901,0.6535947712418301,64.05,59.55,53.0
153,0.5824675324675325,0.6113636363636363,0.6545454545454545,64.3,59.85,53.2
154,0.582258064516129,0.6125806451612903,0.6558064516129033,64.75,60.05,53.35
