t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0,0.5026246899500345,0.4893604849295929,0.512989176042577,0.5026246899500346,0.4893604849295929,0.512989176042577
1,0.34792618696922967,0.41675437673324534,0.3627381250550058,0.6958523739384593,0.8335087534664907,0.7254762501100116
2,0.28408054207559674,0.2757233972895037,0.30348848933344197,0.8522416262267903,0.827170191868511,0.910465468000326
3,0.22176030208075423,0.18628995509264862,0.23612831034708315,0.8870412083230169,0.7451598203705945,0.9445132413883326
4,0.2142305693455191,0.2100125309544522,0.20799797569865153,1.0711528467275953,1.050062654772261,1.0399898784932577
5,0.21357442517239578,0.18157047187610087,0.17013926184468017,1.2814465510343749,1.0894228312566052,1.020835571068081
6,0.17633943442460656,0.19609506890093134,0.163704430938552,1.234376040972246,1.3726654823065194,1.1459310165698642
7,0.16461178412763836,0.20114802090945233,0.16721401351498466,1.3168942730211066,1.6091841672756186,1.3377121081198773
8,0.16946960794842722,0.20794798669905354,0.17061597687775876,1.525226471535845,1.8715318802914815,1.535543791899829
9,0.15852942612451615,0.18890264827766656,0.14903196407411895,1.585294261245161,1.8890264827766654,1.4903196407411892
10,0.16388869433927222,0.17317996583168405,0.138342892773215,1.8027756377319946,1.9049796241485244,1.5217718205053643
11,0.1582871585486438,0.14876440418734707,0.12760444638351012,1.8994459025837256,1.7851728502481652,1.5312533566021216
12,0.16792837078381886,0.14423414301047355,0.12447335335743485,2.1830688201896455,1.8750438591361567,1.6181535936466533
13,0.16594455093483007,0.12798529722217447,0.11793970678312804,2.3232237130876205,1.7917941611104424,1.6511558949637928
14,0.16415653633362465,0.12325981687533187,0.11007705966425288,2.4623480450043695,1.8488972531299785,1.651155894963793
15,0.16458055738276334,0.11398868826612393,0.10938674748942759,2.6332889181242134,1.8238190122579827,1.7501879598308414
16,0.16514205845835592,0.10707107064300604,0.10170643833771968,2.807414993792051,1.8202082009311031,1.729009451741235
17,0.16048476757556052,0.10829771494232186,0.10015420209622192,2.8887258163600897,1.949358868961793,1.802775637731995
18,0.1586087273325844,0.10917255622680642,0.1008781966307614,3.0135658193191035,2.0742785683093214,1.9166857359844665
19,0.16351404253232552,0.10915344100948227,0.10572431876795121,3.27028085064651,2.183068820189645,2.1144863753590246
20,0.16150252259599326,0.10976327749102191,0.11204997776708181,3.3915529745158595,2.30502882731146,2.353049533108719
21,0.15944935695595266,0.10746394440714714,0.10521421219598082,3.5078858530309587,2.364206776957237,2.314712668311578
22,0.1455060915711436,0.11249647624899611,0.10972056837287739,3.3466401061363027,2.5874189537269108,2.523573072576179
23,0.14559818133945465,0.10259783520851543,0.10888439467393284,3.4943563521469123,2.4623480450043695,2.6132254721743875
24,0.13516461698318286,0.09659464951947118,0.09735447979852853,3.3791154245795725,2.4148662379867796,2.433861994963214
25,0.13696617162884908,0.09746075398551197,0.10320313742306722,3.5611204623500767,2.53397960362331,2.6832815729997477
26,0.13287499737241804,0.10187400078151497,0.09908978578665759,3.587624929055287,2.750598021100904,2.675424216239754
27,0.13031142982596264,0.09131160281001327,0.09859376449564206,3.648720035126955,2.556724878680371,2.760625405877977
28,0.12671009342276152,0.09157514200757069,0.09445148978522505,3.6745927092600845,2.6556791182195503,2.739093203771527
29,0.13327849749579576,0.08878649072732021,0.09545214042184237,3.9983549248738735,2.6635947218196057,2.86356421265527
30,0.13233258077223783,0.08685749688926622,0.09954989342266733,4.1023100039393725,2.6925824035672514,3.0860466961026876
31,0.12633945176534692,0.08274187032732072,0.09175509092429865,4.042862456491103,2.647739850474263,2.9361629095775577
32,0.12224440816033447,0.08011397805907804,0.08405875356867949,4.034065469291036,2.643761275949575,2.773938867766423
33,0.11671457073421393,0.07590586910915265,0.08399241581913126,3.9682954049632744,2.5807995497111884,2.8557421378504637
34,0.12010557475406053,0.07825980582204367,0.07968789818459522,4.203695116392119,2.7390932037715263,2.789076436460832
35,0.11677800312685176,0.07511903051783163,0.0774743454572453,4.204008112566662,2.704285098641939,2.7890764364608316
36,0.11642113661326653,0.07593939012824545,0.07617948531294923,4.307582054690862,2.809757434745082,2.818640956579121
37,0.11020266556086399,0.07611493293051483,0.07466453136374265,4.187701291312831,2.8923674513595623,2.837252191822221
38,0.105974017591962,0.07246410662543537,0.06582043632795756,4.132986686086518,2.826100158391977,2.566997016790344
39,0.10300581230406883,0.07281917040826108,0.06757062581983544,4.120232492162752,2.912766816330443,2.702825032793417
40,0.10090544714997066,0.06765704555527857,0.06506204183954635,4.137123333148796,2.7739388677664225,2.6675437154214006
41,0.09936995698817605,0.06416725370672736,0.06527366719491622,4.1735381935033935,2.6950246556825483,2.741494022186481
42,0.09863720854624167,0.06423383529547641,0.0638449061537916,4.241399967488391,2.762054917705485,2.7453309646130384
43,0.09450858454809297,0.06439863009465903,0.06481940314383837,4.158377720116091,2.8335397241649978,2.8520537383288884
44,0.09626555214724751,0.06467793957329185,0.06618736081491637,4.331949846626138,2.910507280798134,2.9784312366712355
45,0.09911432483814127,0.06775204255020217,0.06782542685825592,4.559258942554498,3.1165939573093,3.1199696354797735
46,0.09715889730701721,0.06631050972998509,0.06749464004585362,4.566468173429808,3.1165939573093002,3.172248082155121
47,0.09982166115171455,0.0630096182205867,0.06569849337818745,4.7914397352823,3.0244616745881627,3.153527682152998
48,0.09929164491710896,0.06010432486054065,0.0653799260731824,4.86529060093834,2.9451119181664924,3.2036163775859374
49,0.0988086934168084,0.059639266471538305,0.0608362772659451,4.940434670840422,2.981963323576917,3.0418138632972544
50,0.09824024796508407,0.06044380138042425,0.06293669148686107,5.010252646219287,3.082633870401635,3.209771265829914
51,0.09795380062555811,0.05559619953448522,0.060201830163455886,5.093597632529022,2.891002375793231,3.130495168499705
52,0.0959885683299952,0.055593432550474754,0.05975191195262262,5.087394121489745,2.946451925175162,3.1668513334889994
53,0.09207947492154041,0.05424044474844651,0.0607095912140871,4.972291645763181,2.9289840164161114,3.278317925560703
54,0.09117186901599365,0.050366210011453055,0.06126831156976526,5.014452795879653,2.7701415506299156,3.369757136337088
55,0.08816971721230331,0.05013241060342948,0.061661943045879915,4.937504163888983,2.8074149937920514,3.4530688105692757
56,0.08447845189814476,0.0492528946279307,0.06090019283406937,4.815271758194251,2.8074149937920505,3.471310991541956
57,0.0853679687777997,0.053325190514669024,0.06306421280809706,4.951342189112384,3.0928610498508036,3.657724342869628
58,0.08165181846730742,0.05367544633032202,0.06400527465828114,4.817457289571139,3.1668513334889985,3.7763112048385885
59,0.07865834032652848,0.0522798922579506,0.06289204525792705,4.719500419591708,3.136793535477036,3.773522715475624
60,0.0730431016596809,0.04920907988993978,0.061821001571532544,4.4556292012405345,3.001753873286328,3.7710810958634857
61,0.07278785739105596,0.05103131579150642,0.06277358108363458,4.51284715824547,3.1639415790733993,3.8919620271853406
62,0.07327964415237857,0.05072049870229085,0.06080356380393205,4.61661758159985,3.1953914182443244,3.830624519647719
63,0.07512325398619049,0.05046555462835388,0.06067970097320324,4.8078882551161914,3.2297954962146473,3.8835008622850107
64,0.07594110061753238,0.05401362043757887,0.05945878609464937,4.936171540139607,3.5108853284426256,3.864821096152208
65,0.07708564775963454,0.05636582287264838,0.05805537662950971,5.08765275213588,3.720144309594794,3.8316548575476386
66,0.0768559470354566,0.05778543531623803,0.059524482286798734,5.149348451375593,3.8716241661879485,3.9881403132155127
67,0.07581584432660571,0.057823346739488905,0.05829386147094693,5.155477414209188,3.9319875782852463,3.963982580024393
68,0.07565804794085298,0.05818039989266747,0.05881818062914187,5.220405307918857,4.014447592594056,4.058454463410788
