t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
0,0.4,0.5,0.45,0.4,0.6,0.5,0.55,0.6
1,0.325,0.525,0.5,0.4,1.35,0.95,1.0,1.2
2,0.4,0.5333333333333333,0.55,0.4333333333333333,1.8,1.4,1.35,1.7
3,0.3375,0.5,0.525,0.45,2.65,2.0,1.9,2.2
4,0.33999999999999997,0.55,0.56,0.39,3.3,2.25,2.2,3.05
5,0.36666666666666664,0.525,0.5583333333333333,0.39166666666666666,3.8,2.85,2.65,3.65
6,0.4,0.5714285714285714,0.5928571428571427,0.40714285714285714,4.2,3.0,2.85,4.15
7,0.40625,0.55625,0.59375,0.39375,4.75,3.55,3.25,4.85
8,0.40555555555555556,0.5611111111111111,0.6,0.38333333333333336,5.35,3.95,3.6,5.55
9,0.41500000000000004,0.575,0.62,0.375,5.85,4.25,3.8,6.25
10,0.42727272727272725,0.5909090909090909,0.6409090909090909,0.3727272727272727,6.3,4.5,3.95,6.9
11,0.45,0.6083333333333333,0.65,0.3666666666666667,6.6,4.7,4.2,7.6
12,0.45384615384615384,0.6115384615384616,0.6576923076923077,0.36923076923076925,7.1,5.05,4.45,8.2
13,0.45,0.6178571428571429,0.65,0.3857142857142857,7.7,5.35,4.9,8.6
14,0.44333333333333336,0.61,0.6366666666666666,0.3933333333333333,8.35,5.85,5.45,9.1
15,0.440625,0.6,0.640625,0.4125,8.95,6.4,5.75,9.4
16,0.45294117647058824,0.6147058823529412,0.6529411764705882,0.42058823529411765,9.3,6.55,5.9,9.85
17,0.475,0.625,0.6611111111111111,0.42777777777777776,9.45,6.75,6.1,10.3
18,0.46842105263157896,0.6131578947368421,0.6526315789473685,0.42105263157894735,10.1,7.35,6.6,11.0
19,0.47750000000000004,0.62,0.655,0.42250000000000004,10.45,7.6,6.9,11.55
20,0.488095238095238,0.6238095238095238,0.6619047619047619,0.42857142857142855,10.75,7.9,7.1,12.0
21,0.4954545454545455,0.625,0.6681818181818182,0.44545454545454544,11.1,8.25,7.3,12.2
22,0.49347826086956526,0.6195652173913043,0.6608695652173913,0.45,11.65,8.75,7.8,12.65
23,0.4916666666666667,0.6166666666666667,0.6604166666666667,0.45625,12.2,9.2,8.15,13.05
24,0.492,0.612,0.656,0.454,12.7,9.7,8.6,13.65
25,0.49230769230769234,0.6096153846153846,0.6519230769230769,0.4576923076923077,13.2,10.15,9.05,14.1
26,0.5018518518518518,0.6129629629629629,0.6592592592592592,0.4648148148148148,13.45,10.45,9.2,14.45
27,0.5017857142857143,0.6178571428571429,0.6642857142857144,0.46785714285714286,13.95,10.7,9.4,14.9
28,0.5086206896551724,0.6189655172413793,0.6620689655172414,0.47586206896551725,14.25,11.05,9.8,15.2
29,0.5066666666666666,0.6166666666666666,0.6599999999999999,0.4766666666666667,14.8,11.5,10.2,15.7
30,0.5129032258064516,0.6129032258064516,0.6612903225806452,0.4790322580645161,15.1,12.0,10.5,16.15
31,0.515625,0.6109375,0.6625,0.4875,15.5,12.45,10.8,16.4
32,0.5121212121212121,0.6075757575757577,0.6606060606060606,0.4909090909090909,16.1,12.95,11.2,16.8
33,0.5147058823529412,0.6088235294117648,0.661764705882353,0.49411764705882355,16.5,13.3,11.5,17.2
34,0.5142857142857142,0.6,0.6542857142857142,0.49714285714285716,17.0,14.0,12.1,17.6
35,0.5166666666666667,0.6027777777777777,0.6541666666666667,0.4958333333333333,17.4,14.3,12.45,18.15
36,0.5135135135135135,0.5972972972972973,0.65,0.4918918918918919,18.0,14.9,12.95,18.8
37,0.5171052631578947,0.5947368421052632,0.65,0.4947368421052632,18.35,15.4,13.3,19.2
38,0.514102564102564,0.5974358974358974,0.6525641025641026,0.49743589743589745,18.95,15.7,13.55,19.6
39,0.5125,0.6,0.6537499999999999,0.50125,19.5,16.0,13.85,19.95
40,0.5146341463414634,0.6,0.6536585365853659,0.5036585365853659,19.9,16.4,14.2,20.35
41,0.5166666666666667,0.6023809523809524,0.6547619047619048,0.5095238095238095,20.3,16.7,14.5,20.6
42,0.5197674418604651,0.6046511627906976,0.6534883720930232,0.5151162790697674,20.65,17.0,14.9,20.85
43,0.5215909090909091,0.6056818181818182,0.6545454545454545,0.5136363636363637,21.05,17.35,15.2,21.4
44,0.5244444444444445,0.6088888888888888,0.6555555555555556,0.5133333333333333,21.4,17.6,15.5,21.9
45,0.5217391304347826,0.6054347826086957,0.6565217391304348,0.5184782608695653,22.0,18.15,15.8,22.15
