t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
0,0.5026246899500346,0.512989176042577,0.5104177855340404,0.5026246899500346,0.5026246899500346,0.512989176042577,0.5104177855340404,0.5026246899500346
1,0.2935714743061999,0.3795773272581241,0.3627381250550058,0.3838859479749573,0.5871429486123998,0.7591546545162482,0.7254762501100116,0.7677718959499145
2,0.29814239699997197,0.34876557585373125,0.32936231138936145,0.3436984942806125,0.894427190999916,1.0462967275611939,0.9880869341680844,1.0310954828418375
3,0.24702173354202106,0.2564945880212885,0.26778821168189887,0.27625312572654126,0.9880869341680845,1.025978352085154,1.0711528467275953,1.105012502906165
4,0.22571523745873392,0.2139847510553276,0.23929721664644754,0.25526044491233285,1.1285761872936695,1.0699237552766379,1.1964860832322377,1.2763022245616642
5,0.19194297398747862,0.18945134696142196,0.2113379821282925,0.24941451910260015,1.151657843924872,1.1367080817685318,1.268027892769755,1.4964871146156007
6,0.1830637930049107,0.160557567699719,0.18698236819293307,0.23758089808823532,1.2814465510343749,1.1239029738980326,1.3088765773505315,1.6630662866176473
7,0.16659812186974474,0.1695339975219999,0.1939674077342838,0.20788328582720592,1.3327849749579581,1.3562719801759993,1.5517392618742702,1.6630662866176475
8,0.1541077148759124,0.13233053699030678,0.17061597687775876,0.21471228311956717,1.3869694338832115,1.190974832912761,1.535543791899829,1.9324105480761042
9,0.15652475842498528,0.1292692009559488,0.14725559590832463,0.20994986870303362,1.5652475842498528,1.292692009559488,1.4725559590832462,2.0994986870303363
10,0.14776867288859072,0.13990613892070286,0.14591732600588642,0.2083510939217935,1.6254554017744982,1.5389675281277313,1.6050905860647506,2.2918620331397284
11,0.15389675281277312,0.12994600768119313,0.13409868060630153,0.20837718836662264,1.8467610337532774,1.5593520921743174,1.6091841672756186,2.500526260399472
12,0.14530972944435885,0.14222286562538292,0.1308168524863116,0.1990322272097624,1.889026482776665,1.8488972531299783,1.700619082322051,2.587418953726911
13,0.13532790268814512,0.12322858694382509,0.12672017261757382,0.18159101128996014,1.8945906376340316,1.7252002172135512,1.774082416646034,2.5422741580594415
14,0.1338149197531352,0.11901152334987765,0.12514319283704686,0.17691310187217646,2.007223796297028,1.7851728502481652,1.8771478925557028,2.653696528082647
15,0.12246609358899044,0.1189316477734386,0.11974994506096973,0.17724128662422456,1.9594574974238472,1.9029063643750175,1.9159991209755154,2.835860585987593
16,0.11144650809611949,0.11042046426798252,0.11593176799972699,0.17099343357351332,1.8945906376340316,1.8771478925557026,1.970840055995359,2.9068883707497264
17,0.10271651406277657,0.11238307041507377,0.11527293373885099,0.1720381963421198,1.8488972531299783,2.022895267471328,2.074912807299318,3.096687534158157
18,0.10087819663076138,0.11362237982058258,0.10581572420000729,0.1583557443540881,1.9166857359844665,2.1588252165910684,2.010498759800138,3.0087591427276736
19,0.0966205274038052,0.1140175425099138,0.10990426455975695,0.1534472307719463,1.932410548076104,2.280350850198276,2.1980852911951394,3.068944615438926
20,0.09632834607006324,0.11447352988371881,0.11130190088220794,0.14327424489179402,2.022895267471328,2.4039441275580957,2.337339918526366,3.008759142727674
21,0.09315409787235997,0.1102362128274089,0.11240964667072305,0.12651861344335624,2.04939015319192,2.425196682202996,2.473012226755907,2.7834094957538373
22,0.09491603566041934,0.10544333400882593,0.10612521349429656,0.12157147658072638,2.1830688201896455,2.425196682202996,2.4408799103688215,2.796143961356707
23,0.09520676176291323,0.10610047097690223,0.11005298431539756,0.12202228130346901,2.284962282309918,2.5464113034456535,2.641271623569542,2.9285347512832565
24,0.09277023115996685,0.0989204890702363,0.10169096632237766,0.11627553482998908,2.3192557789991715,2.473012226755907,2.5422741580594415,2.9068883707497264
25,0.09220642218141845,0.10158737013729009,0.10549744248369751,0.11699284089604822,2.3973669767168793,2.641271623569542,2.742933504576134,3.041813863297255
26,0.09030307787636101,0.09497899406398749,0.10308924058347549,0.11492794527069604,2.438183102661747,2.564432839727663,2.7834094957538373,3.1030545223087933
27,0.0901089864037969,0.08522731341339394,0.09512838292212879,0.10292447670733128,2.523051619306313,2.3863647755750304,2.6635947218196057,2.881885347805276
28,0.09217117432829737,0.09052696343952626,0.09727496813412977,0.10471098682982734,2.6729640555206244,2.6252819397462623,2.820974075889763,3.036618618064993
29,0.09403246919632546,0.0868553950490285,0.08957338786082336,0.10208355710680808,2.820974075889763,2.6056618514708556,2.6872016358247004,3.062506713204243
30,0.09296404347758953,0.07901579815429609,0.08598612741664244,0.09943980227102049,2.881885347805276,2.4494897427831783,2.665569949915916,3.0826338704016356
31,0.09429665186331686,0.0775306338013019,0.08085684230396598,0.09314497754632434,3.0174928596261394,2.4809802816416617,2.5874189537269117,2.980639281482378
32,0.0932189277903417,0.07453559924999302,0.07461660742437483,0.0860475763436485,3.0762246170812757,2.4596747752497685,2.4623480450043704,2.8395700193404
33,0.09077861864641333,0.0714727859616997,0.07298560516486866,0.08406014618722084,3.086473033978053,2.430074722697789,2.481510575605533,2.858044970365508
34,0.08987400178937704,0.07299044270382914,0.07174366591052773,0.08260006787980659,3.145590062628197,2.5546654946340204,2.5110283068684702,2.891002375793231
