cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0.35,0.45,0.5,0.65,0.55,0.5
0.425,0.525,0.575,1.15,0.95,0.85
0.35,0.55,0.5666666666666667,1.95,1.35,1.3
0.375,0.55,0.5875,2.5,1.8,1.65
0.36,0.52,0.5599999999999999,3.2,2.4,2.2
0.4,0.525,0.55,3.6,2.85,2.7
0.3857142857142857,0.5357142857142857,0.5785714285714285,4.3,3.25,2.95
0.39375,0.54375,0.58125,4.85,3.65,3.35
0.4111111111111111,0.5666666666666667,0.6,5.3,3.9,3.6
0.425,0.5549999999999999,0.595,5.75,4.45,4.05
0.42272727272727273,0.55,0.5954545454545455,6.35,4.95,4.45
0.4291666666666667,0.5583333333333333,0.6,6.85,5.3,4.8
0.4346153846153847,0.5692307692307692,0.6038461538461538,7.35,5.6,5.15
0.44642857142857145,0.5821428571428571,0.6214285714285714,7.75,5.85,5.3
0.44666666666666666,0.5866666666666667,0.6233333333333333,8.3,6.2,5.65
0.45,0.584375,0.621875,8.8,6.65,6.05
0.45,0.5823529411764705,0.6264705882352941,9.35,7.1,6.35
0.4444444444444445,0.5805555555555555,0.6222222222222222,10.0,7.55,6.8
0.45,0.5868421052631578,0.6263157894736842,10.45,7.85,7.1
0.445,0.5925,0.635,11.1,8.15,7.3
0.45,0.5952380952380952,0.6357142857142857,11.55,8.5,7.65
0.4545454545454545,0.6022727272727273,0.6363636363636364,12.0,8.75,8.0
0.45434782608695656,0.6021739130434782,0.6391304347826087,12.55,9.15,8.3
0.4604166666666666,0.60625,0.64375,12.95,9.45,8.55
0.47400000000000003,0.6100000000000001,0.646,13.15,9.75,8.85
0.475,0.6173076923076923,0.6538461538461539,13.65,9.95,9.0
0.4722222222222222,0.6185185185185185,0.6555555555555556,14.25,10.3,9.3
0.475,0.6178571428571429,0.6553571428571429,14.7,10.7,9.65
0.47241379310344833,0.6206896551724138,0.653448275862069,15.3,11.0,10.05
0.4716666666666667,0.6233333333333333,0.6533333333333333,15.85,11.3,10.4
0.4806451612903226,0.6290322580645161,0.6564516129032258,16.1,11.5,10.65
0.484375,0.6296875,0.6546875,16.5,11.85,11.05
0.47727272727272724,0.6227272727272728,0.646969696969697,17.25,12.45,11.65
0.4764705882352941,0.6191176470588236,0.6470588235294118,17.8,12.95,12.0
0.47714285714285715,0.61,0.6485714285714286,18.3,13.65,12.3
0.4763888888888889,0.611111111111111,0.65,18.85,14.0,12.6
0.48108108108108105,0.6121621621621622,0.6513513513513514,19.2,14.35,12.9
0.4842105263157895,0.6131578947368421,0.6539473684210526,19.6,14.7,13.15
0.4897435897435898,0.6166666666666667,0.6551282051282051,19.9,14.95,13.45
0.49375,0.61625,0.6575,20.25,15.35,13.7
0.4975609756097561,0.6146341463414634,0.6548780487804878,20.6,15.8,14.15
0.4976190476190476,0.6154761904761905,0.655952380952381,21.1,16.15,14.45
0.49883720930232556,0.6139534883720931,0.6523255813953488,21.55,16.6,14.95
0.49886363636363634,0.6125,0.65,22.05,17.05,15.4
0.5044444444444445,0.6166666666666667,0.6544444444444444,22.3,17.25,15.55
0.5043478260869565,0.6163043478260869,0.6554347826086957,22.8,17.65,15.85
0.5085106382978724,0.6127659574468085,0.652127659574468,23.1,18.2,16.35
0.5104166666666667,0.6125,0.6520833333333333,23.5,18.6,16.7
0.5153061224489796,0.616326530612245,0.6561224489795918,23.75,18.8,16.85
0.517,0.614,0.657,24.15,19.3,17.15
0.5176470588235295,0.6117647058823529,0.6529411764705882,24.6,19.8,17.7
0.5182692307692307,0.6125,0.6548076923076923,25.05,20.15,17.95
0.5179245283018867,0.6132075471698113,0.6547169811320754,25.55,20.5,18.3
0.5175925925925926,0.6129629629629629,0.6527777777777778,26.05,20.9,18.75
0.5209090909090909,0.6145454545454545,0.6536363636363636,26.35,21.2,19.05
0.5241071428571429,0.6151785714285715,0.6544642857142857,26.65,21.55,19.35
0.5263157894736842,0.6166666666666667,0.6535087719298246,27.0,21.85,19.75
0.5293103448275862,0.618103448275862,0.6560344827586208,27.3,22.15,19.95
0.5271186440677966,0.6177966101694915,0.6576271186440679,27.9,22.55,20.2
0.5241666666666667,0.6158333333333333,0.6541666666666667,28.55,23.05,20.75
0.5262295081967213,0.6172131147540983,0.6540983606557378,28.9,23.35,21.1
0.521774193548387,0.614516129032258,0.6532258064516129,29.65,23.9,21.5
0.5253968253968254,0.615079365079365,0.653968253968254,29.9,24.25,21.8
0.528125,0.615625,0.65234375,30.2,24.6,22.25
0.5292307692307692,0.6161538461538462,0.6530769230769231,30.6,24.95,22.55
0.5303030303030303,0.6174242424242424,0.6537878787878788,31.0,25.25,22.85
0.5343283582089552,0.6201492537313433,0.6567164179104478,31.2,25.45,23.0
0.5360294117647059,0.6205882352941177,0.6580882352941176,31.55,25.8,23.25
0.5369565217391304,0.6210144927536232,0.6586956521739131,31.95,26.15,23.55
0.5378571428571428,0.6207142857142858,0.6578571428571428,32.35,26.55,23.95
0.5394366197183098,0.6190140845070423,0.6570422535211268,32.7,27.05,24.35
0.5423611111111111,0.61875,0.6569444444444444,32.95,27.45,24.7
0.5424657534246575,0.6171232876712328,0.6568493150684931,33.4,27.95,25.05
0.5452702702702703,0.6195945945945945,0.6567567567567567,33.65,28.15,25.4
0.5473333333333333,0.6226666666666667,0.658,33.95,28.3,25.65
0.5493421052631579,0.6230263157894738,0.6572368421052632,34.25,28.65,26.05
0.5512987012987013,0.6240259740259739,0.6590909090909091,34.55,28.95,26.25
0.5525641025641026,0.6237179487179487,0.6602564102564102,34.9,29.35,26.5
0.5506329113924051,0.6208860759493671,0.658860759493671,35.5,29.95,26.95
0.551875,0.620625,0.658125,35.85,30.35,27.35
0.55,0.6191358024691358,0.6555555555555556,36.45,30.85,27.9
0.5493902439024391,0.6189024390243902,0.6554878048780488,36.95,31.25,28.25
0.55,0.6180722891566265,0.6560240963855422,37.35,31.7,28.55
0.5535714285714286,0.618452380952381,0.6571428571428571,37.5,32.05,28.8
0.5523529411764706,0.6158823529411764,0.6564705882352941,38.05,32.65,29.2
0.552906976744186,0.6156976744186047,0.6569767441860466,38.45,33.05,29.5
0.5557471264367816,0.6155172413793103,0.657471264367816,38.65,33.45,29.8
0.5539772727272727,0.6153409090909091,0.65625,39.25,33.85,30.25
0.5550561797752809,0.6168539325842697,0.6573033707865169,39.6,34.1,30.5
0.5555555555555556,0.6161111111111112,0.6572222222222222,40.0,34.55,30.85
0.5565934065934066,0.6170329670329671,0.6576923076923077,40.35,34.85,31.15
0.5570652173913044,0.6163043478260869,0.657608695652174,40.75,35.3,31.5
0.5575268817204301,0.6150537634408602,0.656989247311828,41.15,35.8,31.9
0.5590425531914894,0.6154255319148936,0.6563829787234042,41.45,36.15,32.3
0.5594736842105263,0.6147368421052631,0.6557894736842106,41.85,36.6,32.7
0.5614583333333333,0.6151041666666667,0.6572916666666667,42.1,36.95,32.9
0.5608247422680412,0.6128865979381444,0.6556701030927835,42.6,37.55,33.4
0.5607142857142857,0.6122448979591837,0.6545918367346939,43.05,38.0,33.85
0.5631313131313131,0.6141414141414141,0.6545454545454545,43.25,38.2,34.2
0.5635,0.6144999999999999,0.655,43.65,38.55,34.5
0.5643564356435643,0.6158415841584158,0.6554455445544555,44.0,38.8,34.8
0.5632352941176471,0.6142156862745097,0.6558823529411765,44.55,39.35,35.1
0.5650485436893204,0.6155339805825243,0.6572815533980583,44.8,39.6,35.3
0.5658653846153846,0.614423076923077,0.6572115384615385,45.15,40.1,35.65
0.5671428571428572,0.6157142857142858,0.6566666666666666,45.45,40.35,36.05
0.5688679245283018,0.6169811320754717,0.6580188679245282,45.7,40.6,36.25
0.5700934579439252,0.6172897196261682,0.6579439252336449,46.0,40.95,36.6
0.5703703703703704,0.6166666666666667,0.6587962962962963,46.4,41.4,36.85
0.5720183486238531,0.6165137614678899,0.658256880733945,46.65,41.8,37.25
0.5727272727272728,0.615909090909091,0.6572727272727273,47.0,42.25,37.7
0.572072072072072,0.6162162162162163,0.6585585585585585,47.5,42.6,37.9
0.5727678571428572,0.615625,0.6589285714285714,47.85,43.05,38.2
0.5730088495575221,0.6168141592920354,0.6601769911504425,48.25,43.3,38.4
0.5728070175438597,0.6171052631578948,0.6609649122807018,48.7,43.65,38.65
0.5726086956521739,0.6165217391304348,0.6604347826086957,49.15,44.1,39.05
0.5732758620689655,0.6168103448275862,0.6599137931034483,49.5,44.45,39.45
0.5747863247863247,0.6170940170940171,0.6611111111111111,49.75,44.8,39.65
0.5754237288135593,0.6173728813559322,0.661864406779661,50.1,45.15,39.9
0.5760504201680672,0.6176470588235294,0.6621848739495799,50.45,45.5,40.2
0.5770833333333333,0.61875,0.6625,50.75,45.75,40.5
0.5768595041322314,0.6177685950413223,0.6615702479338843,51.2,46.25,40.95
0.5774590163934425,0.6172131147540983,0.660655737704918,51.55,46.7,41.4
0.576829268292683,0.6170731707317073,0.6609756097560975,52.05,47.1,41.7
0.5770161290322581,0.6169354838709677,0.6600806451612903,52.45,47.5,42.15
0.5788,0.6188,0.6616,52.65,47.65,42.3
0.5801587301587301,0.6190476190476191,0.6623015873015874,52.9,48.0,42.55
0.5803149606299212,0.6192913385826773,0.6622047244094488,53.3,48.35,42.9
0.5796875,0.618359375,0.661328125,53.8,48.85,43.35
0.5794573643410853,0.6186046511627907,0.6616279069767442,54.25,49.2,43.65
0.5792307692307692,0.6188461538461538,0.6607692307692308,54.7,49.55,44.1
0.5790076335877863,0.6175572519083969,0.6595419847328244,55.15,50.1,44.6
0.5795454545454546,0.6178030303030303,0.6590909090909091,55.5,50.45,45.0
0.5793233082706767,0.6172932330827068,0.6578947368421052,55.95,50.9,45.5
0.5805970149253732,0.6190298507462686,0.6597014925373135,56.2,51.05,45.6
0.5814814814814815,0.6192592592592592,0.6599999999999999,56.5,51.4,45.9
0.580514705882353,0.61875,0.6591911764705882,57.05,51.85,46.35
0.5821167883211679,0.6197080291970802,0.6591240875912409,57.25,52.1,46.7
0.5840579710144927,0.6213768115942029,0.6608695652173913,57.4,52.25,46.8
0.5838129496402877,0.6219424460431655,0.6607913669064749,57.85,52.55,47.15
0.5839285714285715,0.6217857142857143,0.6603571428571429,58.25,52.95,47.55
0.5840425531914893,0.6216312056737588,0.6606382978723404,58.65,53.35,47.85
0.5852112676056338,0.621830985915493,0.6612676056338028,58.9,53.7,48.1
0.5856643356643356,0.622027972027972,0.6615384615384615,59.25,54.05,48.4
0.5864583333333333,0.6225694444444445,0.6621527777777778,59.55,54.35,48.65
0.586896551724138,0.6224137931034484,0.6617241379310345,59.9,54.75,49.05
0.5866438356164384,0.6222602739726028,0.6616438356164384,60.35,55.15,49.4
0.5877551020408164,0.622108843537415,0.6615646258503401,60.6,55.55,49.75
0.5881756756756757,0.6216216216216216,0.6621621621621622,60.95,56.0,50.0
0.5875838926174497,0.621476510067114,0.6617449664429531,61.45,56.4,50.4
0.588,0.6216666666666667,0.6603333333333333,61.8,56.75,50.95
